sector,country,alpha
1,1,0.033038023
2,1,0.001424827
3,1,0.062584489
4,1,0.021343806
5,1,0
6,1,0.003625272
7,1,0.020050866
8,1,0.016482433
9,1,0.003143698
10,1,0
11,1,0
12,1,1.42386E-05
13,1,0.015755463
14,1,0.001990317
15,1,0.002498581
16,1,0.010719443
17,1,0.000587695
18,1,0.040055812
19,1,0
20,1,0.002895244
21,1,0.011152805
22,1,0.102250051
23,1,0.129250765
24,1,0.051727662
25,1,0.016410269
26,1,0.000725301
27,1,0.012314822
28,1,0.016271947
29,1,0.01925515
30,1,0.013462412
31,1,0.108008993
32,1,0
33,1,0
34,1,0
35,1,0.019033436
36,1,0.07941433
37,1,0.046387766
38,1,0.058806194
39,1,0.062859442
40,1,0.016458449
1,2,0.019221789
2,2,0
3,2,0.037832677
4,2,0.01501606
5,2,0.002409005
6,2,0
7,2,0.006325204
8,2,0
9,2,0.004914654
10,2,0.003212544
11,2,0
12,2,0
13,2,0.007470429
14,2,0.006247379
15,2,0
16,2,0.009441037
17,2,0.003546564
18,2,0.019691775
19,2,0.004801888
20,2,0.006083569
21,2,0.272800434
22,2,0.100838577
23,2,0.078023653
24,2,0.027151834
25,2,0.021735254
26,2,0.00051115
27,2,0.008437651
28,2,0.011919078
29,2,0.004835481
30,2,0.010059872
31,2,0.087050502
32,2,0.01758479
33,2,0.012110025
34,2,0.007439876
35,2,0
36,2,0.052841248
37,2,0.039960475
38,2,0.049056208
39,2,0.024064519
40,2,0.027364799
1,3,0.023958781
2,3,0.005011438
3,3,0.057118864
4,3,0.033026535
5,3,0.006834559
6,3,0.006143701
7,3,0.004436061
8,3,0.015928682
9,3,0.004422619
10,3,0.012017861
11,3,0.003968363
12,3,0.007336562
13,3,0.032927645
14,3,0.008870027
15,3,0.009643067
16,3,0.018869576
17,3,0.0071922
18,3,0.043358071
19,3,0.00498501
20,3,0.024862388
21,3,0.016067936
22,3,0.096017291
23,3,0.104387687
24,3,0.054339152
25,3,0.030497683
26,3,0
27,3,0
28,3,0.017487703
29,3,0.010926883
30,3,0.014635298
31,3,0.064130796
32,3,0
33,3,0
34,3,0
35,3,0.014193863
36,3,0.080950613
37,3,0.058940391
38,3,0.069727597
39,3,0.036360225
40,3,0.00042487
1,4,0.036642792
2,4,0
3,4,0.053683076
4,4,0.024983266
5,4,0
6,4,0.000814151
7,4,0.006577742
8,4,0.064099702
9,4,0
10,4,0
11,4,0.013285635
12,4,0.004769531
13,4,0.020192435
14,4,0.002720167
15,4,0.024136141
16,4,0.01563491
17,4,0.009784126
18,4,0.03718791
19,4,0.000108012
20,4,0.012053559
21,4,0.00925963
22,4,0.095740412
23,4,0.00889448
24,4,0.019343254
25,4,0
26,4,0
27,4,0.00757187
28,4,0.005154608
29,4,0.004504533
30,4,0.022390152
31,4,0.09840517
32,4,0
33,4,0
34,4,0.082294624
35,4,0
36,4,0.248508628
37,4,0.037089881
38,4,0.022170124
39,4,0
40,4,0.011999477
1,5,0.008472564
2,5,0.011770457
3,5,0.053912791
4,5,0.016111215
5,5,0
6,5,0.000330542
7,5,0.010186238
8,5,0.016387119
9,5,0.00449064
10,5,0
11,5,0
12,5,0
13,5,0.013500987
14,5,0.013288966
15,5,0
16,5,0.016950254
17,5,0.002650671
18,5,0.047567413
19,5,0.004850714
20,5,0.012727666
21,5,0.020950362
22,5,0.106144951
23,5,0.053792952
24,5,0.039696682
25,5,0.010461527
26,5,0.000936871
27,5,0.006721068
28,5,0.036777061
29,5,0.017351346
30,5,0.065380791
31,5,0.108900906
32,5,0.005447159
33,5,0.00155189
34,5,0.001609641
35,5,0.033721386
36,5,0.117355611
37,5,0.067818683
38,5,0.066530104
39,5,0.00565277
40,5,0
1,6,0.010273029
2,6,0.06418664
3,6,0.087664311
4,6,0.033940087
5,6,0
6,6,0.001470891
7,6,0.023990399
8,6,0.031512536
9,6,0.009413829
10,6,0.004095713
11,6,0.010212683
12,6,0.00740596
13,6,0.032684787
14,6,0.004553976
15,6,0.005427301
16,6,0.006967406
17,6,0.002629065
18,6,0.032518503
19,6,0
20,6,0.000627543
21,6,0.017281694
22,6,0.140034912
23,6,0.107612195
24,6,0.024390989
25,6,0.01551425
26,6,0.000409888
27,6,0.015484455
28,6,0.017525101
29,6,0.011986828
30,6,0.00710392
31,6,0
32,6,0
33,6,0
34,6,0
35,6,0.03009938
36,6,0.056054012
37,6,0.04421345
38,6,0.050676794
39,6,0.013082111
40,6,0.078955362
1,7,0.1622683
2,7,0.054462584
3,7,0.042312117
4,7,0.010007947
5,7,0
6,7,0
7,7,0.00253629
8,7,0.007242879
9,7,0
10,7,0
11,7,0.009825003
12,7,0
13,7,0.059255785
14,7,0
15,7,0.033983591
16,7,0.024407661
17,7,0.001068857
18,7,0.058342371
19,7,0.008420188
20,7,0
21,7,0.029599775
22,7,0.186045565
23,7,0.041863169
24,7,0.025921219
25,7,0
26,7,0
27,7,0.009296374
28,7,0.015028749
29,7,0.008928724
30,7,0.001736091
31,7,0.016538487
32,7,0
33,7,0
34,7,0.00374521
35,7,0.101703229
36,7,0.039469428
37,7,0.021161536
38,7,0.01616856
39,7,0.008660316
40,7,0
1,8,0.012426741
2,8,0
3,8,0.071655163
4,8,0.021098716
5,8,0.001433922
6,8,0.009848743
7,8,0.009526022
8,8,0.005070748
9,8,0.003453149
10,8,0
11,8,0
12,8,0.004183351
13,8,0.021846674
14,8,0.011406698
15,8,0.004775506
16,8,0.006328631
17,8,0.00454306
18,8,0.010669167
19,8,0.014443894
