sector,country,gamma_VA
1,1,0.57327082
2,1,0.693676571
3,1,0.263919925
4,1,0.35436675
5,1,0.414016801
6,1,0.403166232
7,1,0.189643032
8,1,0.370550018
9,1,0.400720733
10,1,0.479024553
11,1,0.323653797
12,1,0.378423401
13,1,0.359304424
14,1,0.439811261
15,1,0.377202557
16,1,0.356337045
17,1,0.432445502
18,1,0.28344909
19,1,0.552925389
20,1,0.421555892
21,1,0.465954512
22,1,0.497208517
23,1,0.727277119
24,1,0.482016862
25,1,0.616405149
26,1,0.616405149
27,1,0.616405149
28,1,0.616405149
29,1,0.625374684
30,1,0.646623039
31,1,0.917343281
32,1,0.649787203
33,1,0.649787203
34,1,0.649787203
35,1,0.649787203
36,1,0.737887239
37,1,0.898986753
38,1,0.627414387
39,1,0.61504717
40,1,1
1,2,0.493175096
2,2,0.574960411
3,2,0.280129386
4,2,0.308288852
5,2,0.424503069
6,2,0.418058907
7,2,0.09315485
8,2,0.29397373
9,2,0.351691247
10,2,0.380520049
11,2,0.323470469
12,2,0.323470469
13,2,0.35780451
14,2,0.373095586
15,2,0.373095586
16,2,0.373095586
17,2,0.373095586
18,2,0.321318996
19,2,0.321318996
20,2,0.386970413
21,2,0.564779859
22,2,0.289755806
23,2,0.464666845
24,2,0.413518719
25,2,0.445993048
26,2,0.256208887
27,2,0.314733825
28,2,0.484695191
29,2,0.551461632
30,2,0.588247544
31,2,0.687902138
32,2,0.461113708
33,2,0.461113708
34,2,0.461113708
35,2,0.461113708
36,2,0.518619573
37,2,0.794406421
38,2,0.773999916
39,2,0.438119529
40,2,1
1,3,0.516522756
2,3,0.529015342
3,3,0.324510589
4,3,0.37595867
5,3,0.352120044
6,3,0.374749696
7,3,0.302066075
8,3,0.355484819
9,3,0.407271125
10,3,0.446705574
11,3,0.390768242
12,3,0.390768242
13,3,0.403542616
14,3,0.442945147
15,3,0.442945147
16,3,0.442945147
17,3,0.442945147
18,3,0.286436444
19,3,0.286436444
20,3,0.422271554
21,3,0.459995778
22,3,0.505363745
23,3,0.603698815
24,3,0.563298126
25,3,0.671889019
26,3,0.314470514
27,3,0.335563377
28,3,0.398507841
29,3,0.857310892
30,3,0.602935337
31,3,0.656817313
32,3,0.582185388
33,3,0.582185388
34,3,0.582185388
35,3,0.582185388
36,3,0.714887928
37,3,0.861616481
38,3,0.676039828
39,3,0.598129614
40,3,1
1,4,0.649775704
2,4,0.366276893
3,4,0.228772576
4,4,0.403136233
5,4,0.483560921
6,4,0.391671722
7,4,0.162889775
8,4,0.36568027
9,4,0.315320825
10,4,0.416577305
11,4,0.352007107
12,4,0.352007107
13,4,0.336166306
14,4,0.269643578
15,4,0.269643578
16,4,0.269643578
17,4,0.269643578
18,4,0.228276742
19,4,0.228276742
20,4,0.436655458
21,4,0.546035449
22,4,0.516792323
23,4,0.746597813
24,4,0.428240223
25,4,0.562076992
26,4,0.562076999
27,4,0.562077019
28,4,0.562076959
29,4,0.430675087
30,4,0.652217638
31,4,0.950229148
32,4,0.593214603
33,4,0.593214603
34,4,0.593214603
35,4,0.593214603
36,4,0.647348184
37,4,0.759972227
38,4,0.582499979
39,4,0.604080733
40,4,1
1,5,0.42178333
2,5,0.639546869
3,5,0.30989712
4,5,0.409110683
5,5,0.339611069
6,5,0.436451952
7,5,0.089586337
8,5,0.41173207
9,5,0.38641207
10,5,0.42254914
11,5,0.324145659
12,5,0.324145659
13,5,0.435895327
14,5,0.302257435
15,5,0.302257435
16,5,0.302257435
17,5,0.302257435
18,5,0.253062537
19,5,0.253062537
20,5,0.442461784
21,5,0.806355981
22,5,0.407608573
23,5,0.641712987
24,5,0.544318148
25,5,0.567699919
26,5,0.433424075
27,5,0.347533704
28,5,0.587221672
29,5,0.697757511
30,5,0.567910572
31,5,0.81532751
32,5,0.637221248
33,5,0.637221248
34,5,0.637221248
35,5,0.637221248
36,5,0.540178633
37,5,0.8003971
38,5,0.775314955
39,5,0.602493877
40,5,1
1,6,0.530126195
2,6,0.508519944
3,6,0.305037796
4,6,0.411016873
5,6,0.418723134
6,6,0.422967031
7,6,0.146655792
8,6,0.429896001
9,6,0.293181396
10,6,0.437037443
11,6,0.437354949
12,6,0.43903754
13,6,0.269588546
14,6,0.32278498
15,6,0.304756715
16,6,0.32278498
17,6,0.337101936
18,6,0.41126859
19,6,0.282008619
20,6,0.450482943
21,6,0.485893367
22,6,0.520298172
23,6,0.495481921
24,6,0.441081784
25,6,0.40106515
26,6,0.40106515
27,6,0.40106515
28,6,0.40106515
29,6,0.621117901
30,6,0.636366189
31,6,0.758103727
32,6,0.565777267
33,6,0.565777267
34,6,0.582185388
35,6,0.650582536
36,6,0.608404938
37,6,0.81930099
38,6,0.77132399
39,6,0.618009734
40,6,1
1,7,0.616069975
2,7,0.50332939
3,7,0.269422972
4,7,0.250941481
5,7,0.28624625
6,7,0.298532961
7,7,0.239993299
8,7,0.283111652
9,7,0.249101427
10,7,0.328266188
11,7,0.235334667
12,7,0.235334667
13,7,0.317929518
14,7,0.251279589
15,7,0.251279589
16,7,0.251279589
17,7,0.251279589
18,7,0.265415494
19,7,0.265415494
20,7,0.313398609
21,7,0.454081118
22,7,0.291474758
23,7,0.485681747
24,7,0.414868912
25,7,0.582571514
26,7,0.400519252
27,7,0.4076077
28,7,0.499646931
29,7,0.617064429
30,7,0.572397089
31,7,0.75655379
32,7,0.430848476
33,7,0.430848476
34,7,0.430848476
35,7,0.430848476
36,7,0.462309968
37,7,0.601163713
38,7,0.367945213
39,7,0.478250937
40,7,1
1,8,0.465551221
2,8,0.689977229
3,8,0.233274847
4,8,0.344338319
5,8,0.361186644
6,8,0.421004524
7,8,0.028658009
8,8,0.429534948
9,8,0.410886325
10,8,0.423708168
11,8,0.421567777
12,8,0.421567777
13,8,0.426713285
14,8,0.404482141
15,8,0.404482141
16,8,0.404482141
17,8,0.404482141
18,8,0.377765669
19,8,0.377765669
20,8,0.389811329
21,8,0.64617166
22,8,0.364550457
23,8,0.565516902
24,8,0.452439361
25,8,0.519270609
26,8,0.229056708
27,8,0.316134949
28,8,0.521681201
29,8,0.669277072
30,8,0.622802175
31,8,0.760122801
32,8,0.565777267
33,8,0.565777267
34,8,0.565777267
35,8,0.565777267
36,8,0.673032413
37,8,0.764630278
38,8,0.755309694
39,8,0.633740126
40,8,1
1,9,0.552283206
2,9,0.404570614
3,9,0.26555129
4,9,0.399210428
5,9,0.317736919
6,9,0.340283189
7,9,0.130768326
8,9,0.355193215
9,9,0.387085753
10,9,0.420061744
11,9,0.292534446
12,9,0.292534446
13,9,0.355841359
14,9,0.319680391
15,9,0.319680391
16,9,0.319680391
17,9,0.319680391
18,9,0.347136933
19,9,0.347136933
20,9,0.446790034
21,9,0.564120112
22,9,0.382056431
23,9,0.552866296
24,9,0.373438183
25,9,0.612000549
26,9,0.36370267
27,9,0.464142063
28,9,0.483948898
29,9,0.568872167
30,9,0.666747332
31,9,0.633903066
32,9,0.53745716
33,9,0.53745716
34,9,0.53745716
35,9,0.53745716
36,9,0.585631131
37,9,0.706610772
38,9,0.737749167
39,9,0.594429408
40,9,1
1,10,0.489633709
2,10,0.396274778
3,10,0.238676143
4,10,0.326902473
5,10,0.348814853
6,10,0.344932809
7,10,0.144860572
8,10,0.259656304
9,10,0.376182568
10,10,0.38572455
11,10,0.354137645
12,10,0.354137645
13,10,0.351380048
14,10,0.307873416
15,10,0.307873416
16,10,0.307873416
