sector,CountryDestination,CountryOrigin,one_plus_tau,one_plus_tau_prime
1,1,1,1,1
1,1,2,1.04166667,1.04166667
1,1,3,1.04075,1.04075
1,1,4,1.04883333,1.04883333
1,1,5,1.0288,1.0288
1,1,6,1.04756667,1.04756667
1,1,7,1.04996666,1.04996666
1,1,8,1.0381,1.0381
1,1,9,1.05,1.05
1,1,10,1.0353,1.0353
1,1,11,1.04,1.04
1,1,12,1.04905,1.04905
1,1,13,1.025,1.025
1,1,14,1.0411,1.0411
1,1,15,1.0385,1.0385
1,1,16,1.05,1.05
1,1,17,1.0385,1.0385
1,1,18,1.0338,1.0338
1,1,19,1.03333333,1.03333333
1,1,20,1.03995,1.03995
1,1,21,1.04266666,1.04266666
1,1,22,1.0481,1.0481
1,1,23,1.05,1.05
1,1,24,1.04896667,1.04896667
1,1,25,1.0479,1.0479
1,1,26,1.0406,1.0406
1,1,27,1.025,1.025
1,1,28,1.04875,1.04875
1,1,29,1.03855,1.03855
1,1,30,1.0425,1.0425
1,1,31,1.04613333,1.04613333
1,2,1,1.0371,1.0371
1,2,2,1,1
1,2,3,1.0237,1.0237
1,2,4,1.0292,1.0292
1,2,5,1.005833334,1.005833334
1,2,6,1.0099,1.0099
1,2,7,1.003866667,1.003866667
1,2,8,1,1
1,2,9,1.025,1.025
1,2,10,1.002033333,1.002033333
1,2,11,1.01296667,1.01296667
1,2,12,1.02673333,1.02673333
1,2,13,1,1
1,2,14,1.0024,1.0024
1,2,15,1.000066667,1.000066667
1,2,16,1,1
1,2,17,1.0142,1.0142
1,2,18,1.0306,1.0306
1,2,19,1.0043,1.0043
1,2,20,1.0001,1.0001
1,2,21,1.002666667,1.002666667
1,2,22,1,1
1,2,23,1,1
1,2,24,1,1
1,2,25,1.001066667,1.001066667
1,2,26,1.004133333,1.004133333
1,2,27,1.01185,1.01185
1,2,28,1.0215,1.0215
1,2,29,1.01096667,1.01096667
1,2,30,1.03006667,1.03006667
1,2,31,1.006933333,1.006933333
1,3,1,1.0522,1.0522
1,3,2,1.07695,1.07695
1,3,3,1,1
1,3,4,1.01223333,1.01223333
1,3,5,1.0684,1.0684
1,3,6,1.02805,1.02805
1,3,7,1.01323333,1.01323333
1,3,8,1.0452,1.0452
1,3,9,1.02805,1.02805
1,3,10,1.05166667,1.05166667
1,3,11,1.0395,1.0395
1,3,12,1.04073333,1.04073333
1,3,13,1.05803333,1.05803333
1,3,14,1.000966667,1.000966667
1,3,15,1.001533333,1.001533333
1,3,16,1.1654667,1.1654667
1,3,17,1.0527,1.0527
1,3,18,1.0508,1.0508
1,3,19,1.01436667,1.01436667
1,3,20,1.0502,1.0502
1,3,21,1.02923333,1.02923333
1,3,22,1.049,1.049
1,3,23,1.11785,1.11785
1,3,24,1.04643333,1.04643333
1,3,25,1.04695,1.04695
1,3,26,1.08476666,1.08476666
1,3,27,1.0164,1.0164
1,3,28,1.02606667,1.02606667
1,3,29,1.09103333,1.09103333
1,3,30,1.03033333,1.03033333
1,3,31,1.0237,1.0237
1,4,1,1.0941,1.0941
1,4,2,1.03705,1.03705
1,4,3,1.15925,1.15925
1,4,4,1,1
1,4,5,1.1213,1.1213
1,4,6,1.09286667,1.09286667
1,4,7,1.07853333,1.07853333
1,4,8,1.0335,1.0335
1,4,9,1,1
1,4,10,1.05623333,1.05623333
1,4,11,1.0561,1.0561
1,4,12,1.05035,1.05035
1,4,13,1.06305,1.06305
1,4,14,1.04423333,1.04423333
1,4,15,1.1,1.1
1,4,16,1.0909,1.0909
1,4,17,1.08696667,1.08696667
1,4,18,1.06386667,1.06386667
1,4,19,1.0812,1.0812
1,4,20,1.1057667,1.1057667
1,4,21,1.01395,1.01395
1,4,22,1.0897,1.0897
1,4,23,1.1,1.1
1,4,24,1.06453333,1.06453333
1,4,25,1.0616,1.0616
1,4,26,1.1008333,1.1008333
1,4,27,1.08125,1.08125
1,4,28,1.0571,1.0571
1,4,29,1.05406667,1.05406667
1,4,30,1.0602,1.0602
1,4,31,1.06193334,1.06193334
1,5,1,1.000466667,1.000466667
1,5,2,1.0003,1.0003
1,5,3,1.011,1.011
1,5,4,1.001733333,1.001733333
1,5,5,1,1
1,5,6,1.01406667,1.01406667
1,5,7,1.005333334,1.005333334
1,5,8,1.001933333,1.001933333
1,5,9,1,1
1,5,10,1.0038,1.0038
1,5,11,1.0018,1.0018
1,5,12,1.001933333,1.001933333
1,5,13,1.0161,1.0161
1,5,14,1.000566667,1.000566667
1,5,15,1.0009,1.0009
1,5,16,1,1
1,5,17,1.01726667,1.01726667
1,5,18,1.002,1.002
1,5,19,1.003466667,1.003466667
1,5,20,1.0053,1.0053
1,5,21,1.0158,1.0158
1,5,22,1.0134,1.0134
1,5,23,1.0005,1.0005
1,5,24,1.001033333,1.001033333
1,5,25,1.0006,1.0006
1,5,26,1.000633333,1.000633333
1,5,27,1,1
1,5,28,1.0019,1.0019
1,5,29,1.002033333,1.002033333
1,5,30,1.002366667,1.002366667
1,5,31,1.002766667,1.002766667
1,6,1,1.11,1.11
1,6,2,1.11,1.11
1,6,3,1.11,1.11
1,6,4,1.11,1.11
1,6,5,1.11,1.11
1,6,6,1,1
1,6,7,1.11,1.11
1,6,8,1.11,1.11
1,6,9,1.1094,1.1094
1,6,10,1.07333333,1.07333333
1,6,11,1.11,1.11
1,6,12,1.11,1.11
1,6,13,1.11,1.11
1,6,14,1.11,1.11
1,6,15,1.11,1.11
1,6,16,1.11,1.11
1,6,17,1.11,1.11
1,6,18,1.11,1.11
1,6,19,1.11,1.11
1,6,20,1.11,1.11
1,6,21,1.11,1.11
1,6,22,1.11,1.11
1,6,23,1.1094,1.1094
1,6,24,1.1094,1.1094
1,6,25,1.11,1.11
1,6,26,1.11,1.11
1,6,27,1.11,1.11
1,6,28,1.11,1.11
1,6,29,1.11,1.11
1,6,30,1.11,1.11
1,6,31,1.11,1.11
1,7,1,1.1294,1.1294
1,7,2,1.2324667,1.2324667
1,7,3,1.2961,1.2961
1,7,4,1.2688667,1.2688667
1,7,5,1.1161,1.1161
1,7,6,1.44375,1.44375
1,7,7,1,1
1,7,8,1.4598,1.4598
1,7,9,1.3483,1.3483
1,7,10,1.1781,1.1781
1,7,11,1.2659,1.2659
1,7,12,1.5,1.5
1,7,13,1.1208,1.1208
1,7,14,1.2861667,1.2861667
1,7,15,1.2875667,1.2875667
1,7,16,1.31415,1.31415
1,7,17,1.4032,1.4032
1,7,18,1.2421333,1.2421333
1,7,19,1.2359,1.2359
1,7,20,1.2204667,1.2204667
1,7,21,1.3573333,1.3573333
1,7,22,1.1555667,1.1555667
1,7,23,1.525,1.525
1,7,24,1.12,1.12
1,7,25,1.4623333,1.4623333
1,7,26,1.2741,1.2741
1,7,27,1.4659,1.4659
1,7,28,1.4659,1.4659
1,7,29,1.2225667,1.2225667
1,7,30,1.1347667,1.1347667
1,7,31,1.2225,1.2225
1,8,1,1.0592,1.0592
1,8,2,1.03566667,1.03566667
1,8,3,1.063,1.063
1,8,4,1.05636667,1.05636667
1,8,5,1.06926667,1.06926667
1,8,6,1.06476667,1.06476667
1,8,7,1.0172,1.0172
1,8,8,1,1
1,8,9,1.063,1.063
1,8,10,1,1
1,8,11,1,1
1,8,12,1,1
1,8,13,1.0291,1.0291
1,8,14,1.03376667,1.03376667
1,8,15,1.01573333,1.01573333
1,8,16,1,1
1,8,17,1,1
1,8,18,1.02833333,1.02833333
1,8,19,1.03896667,1.03896667
1,8,20,1.04176667,1.04176667
1,8,21,1,1
