SectorOrigin,SectorDestination,country,gamma_IO
1,1,1,0.12095613
1,2,1,0.001154043
1,3,1,0.299735929
1,4,1,0.03060463
1,5,1,0.135188609
1,6,1,0.017065566
1,7,1,0.002660402
1,8,1,0.00624043
1,9,1,0.011525219
1,10,1,0.001043201
1,11,1,0.000468437
1,12,1,0.000546552
1,13,1,0.000484686
1,14,1,0.000681694
1,15,1,0.000542207
1,16,1,0.000368046
1,17,1,0.000720397
1,18,1,0.000590295
1,19,1,0.00023306
1,20,1,0.009853448
1,21,1,0.001243792
1,22,1,0.003383837
1,23,1,0.001956487
1,24,1,0.046437706
1,25,1,0.000807084
1,26,1,0.002135971
1,27,1,0.000881923
1,28,1,0.001192903
1,29,1,0.000365222
1,30,1,0.000247788
1,31,1,0.000293696
1,32,1,0.001362398
1,33,1,0.001076904
1,34,1,0.003832869
1,35,1,0.002067516
1,36,1,0.00160358
1,37,1,0.00092016
1,38,1,0.00473601
1,39,1,0.00309017
1,40,1,0
2,1,1,0.00192809
2,2,1,0.028191466
2,3,1,0.002017816
2,4,1,0.001671674
2,5,1,0.00121949
2,6,1,0.003649579
2,7,1,0.444990674
2,8,1,0.026512307
2,9,1,0.002106167
2,10,1,0.070105009
2,11,1,0.059285126
2,12,1,0.004582325
2,13,1,0.002478467
2,14,1,0.000438292
2,15,1,0.002378899
2,16,1,0.001987953
2,17,1,0.001868276
2,18,1,0.00211662
2,19,1,0.000972745
2,20,1,0.013759103
2,21,1,0.106565893
2,22,1,0.014432831
2,23,1,0.000893413
2,24,1,0.001060001
2,25,1,0.001680529
2,26,1,0.001087875
2,27,1,0.000800102
2,28,1,0.000963437
2,29,1,0.000631319
2,30,1,0.000275917
2,31,1,0.000260807
2,32,1,0.001273759
2,33,1,0.000554247
2,34,1,0.00213987
2,35,1,0.000506513
2,36,1,0.001030234
2,37,1,0.000394719
2,38,1,0.000959035
2,39,1,0.001159208
2,40,1,0
3,1,1,0.06572342
3,2,1,0.001594076
3,3,1,0.138112324
3,4,1,0.014337771
3,5,1,0.001561001
3,6,1,0.00342875
3,7,1,0.001675575
3,8,1,0.010814832
3,9,1,0.003081554
3,10,1,0.0019013
3,11,1,0.001329291
3,12,1,0.00152336
3,13,1,0.001738784
3,14,1,0.001529539
3,15,1,0.001623571
3,16,1,0.001675326
3,17,1,0.003958522
3,18,1,0.002102862
3,19,1,0.000737271
3,20,1,0.002226489
3,21,1,0.001677383
3,22,1,0.001205392
3,23,1,0.003591788
3,24,1,0.158795967
3,25,1,0.002172374
3,26,1,0.005137447
3,27,1,0.003779253
3,28,1,0.003116478
3,29,1,0.001783104
3,30,1,0.001306399
3,31,1,0.00016147
3,32,1,0.002442174
3,33,1,0.00228759
3,34,1,0.01152025
3,35,1,0.004505523
3,36,1,0.003465576
3,37,1,0.002515967
3,38,1,0.013091951
3,39,1,0.006233272
3,40,1,0
4,1,1,0.002737724
4,2,1,0.001984241
4,3,1,0.002074936
4,4,1,0.259683894
4,5,1,0.003289124
4,6,1,0.005695883
4,7,1,0.001687325
4,8,1,0.004443413
4,9,1,0.014876568
4,10,1,0.004377965
4,11,1,0.001691001
4,12,1,0.003003831
4,13,1,0.002774276
4,14,1,0.001030691
4,15,1,0.001764697
4,16,1,0.001541895
4,17,1,0.006186685
4,18,1,0.008599113
4,19,1,0.00363731
4,20,1,0.031496918
4,21,1,0.001844486
4,22,1,0.002520142
4,23,1,0.00309475
4,24,1,0.00548482
4,25,1,0.001841907
4,26,1,0.003262474
4,27,1,0.001959211
4,28,1,0.002524323
4,29,1,0.002316758
4,30,1,0.001077234
4,31,1,0.000318361
4,32,1,0.003181053
4,33,1,0.001934716
4,34,1,0.003517782
4,35,1,0.003242445
4,36,1,0.002649279
4,37,1,0.000641101
4,38,1,0.006764515
4,39,1,0.007155965
4,40,1,0
5,1,1,0.001652807
5,2,1,0.002077669
5,3,1,0.001846162
5,4,1,0.001578186
5,5,1,0.176533357
5,6,1,0.010498127
5,7,1,0.003132273
5,8,1,0.001886462
5,9,1,0.002305367
5,10,1,0.005898588
5,11,1,0.001370616
5,12,1,0.004315917
5,13,1,0.002747046
5,14,1,0.000863923
5,15,1,0.003738528
5,16,1,0.001859864
5,17,1,0.001909934
5,18,1,0.008699645
5,19,1,0.002004683
5,20,1,0.091126176
5,21,1,0.002095221
5,22,1,0.032521458
5,23,1,0.001660201
5,24,1,0.001146348
5,25,1,0.000831979
5,26,1,0.000409986
5,27,1,0.000277608
5,28,1,0.001799674
5,29,1,0.000558379
5,30,1,0.000420766
5,31,1,0.000862374
5,32,1,0.000739614
5,33,1,0.000810673
5,34,1,0.000981331
5,35,1,0.00109361
5,36,1,0.000666474
5,37,1,0.000384931
5,38,1,0.000660408
5,39,1,0.003152456
5,40,1,0
6,1,1,0.003388656
6,2,1,0.003959261
6,3,1,0.021535789
6,4,1,0.012048227
6,5,1,0.011621863
6,6,1,0.239240577
6,7,1,0.004090034
6,8,1,0.019608059
6,9,1,0.017355307
6,10,1,0.017328737
6,11,1,0.004198757
6,12,1,0.008946725
6,13,1,0.00871
6,14,1,0.007224138
6,15,1,0.011258496
6,16,1,0.011190338
6,17,1,0.014054749
6,18,1,0.007208932
6,19,1,0.002415097
6,20,1,0.019123015
6,21,1,0.005730255
6,22,1,0.004332755
6,23,1,0.014138118
6,24,1,0.012113087
6,25,1,0.005783306
6,26,1,0.005347964
6,27,1,0.007733848
6,28,1,0.012925612
6,29,1,0.015190682
6,30,1,0.017581741
6,31,1,0.001768631
6,32,1,0.010551491
6,33,1,0.013777336
6,34,1,0.021397126
6,35,1,0.034891351
6,36,1,0.012556853
6,37,1,0.010101628
6,38,1,0.008768393
6,39,1,0.022096831
6,40,1,0
7,1,1,0.012641681
7,2,1,0.014773673
7,3,1,0.003937734
7,4,1,0.005096823
7,5,1,0.004690151
7,6,1,0.005075892
7,7,1,0.043414064
7,8,1,0.024131035
7,9,1,0.007744546
7,10,1,0.014535632
7,11,1,0.01506081
7,12,1,0.004707262
7,13,1,0.004635176
7,14,1,0.001299918
7,15,1,0.005827391
7,16,1,0.002559075
7,17,1,0.003973109
7,18,1,0.005197215
7,19,1,0.002421311
7,20,1,0.004977743
7,21,1,0.031245933
7,22,1,0.008574103
7,23,1,0.005619591
7,24,1,0.006345397
7,25,1,0.052611491
7,26,1,0.036503461
7,27,1,0.039077268
7,28,1,0.012776969
7,29,1,0.00571446
7,30,1,0.002096373
7,31,1,0.000537773
7,32,1,0.014503293
7,33,1,0.001955028
7,34,1,0.005257289
7,35,1,0.003655591
7,36,1,0.004053679
7,37,1,0.00181242
7,38,1,0.004999652
7,39,1,0.0064408
7,40,1,0
8,1,1,0.042315276
8,2,1,0.01591629
8,3,1,0.01144369
8,4,1,0.055472615
8,5,1,0.020685852
8,6,1,0.034217733
8,7,1,0.02169901
8,8,1,0.220832518
