,Argentina,Australia,Austria,Brazil,Canada,Chile,China,Denmark,Finland,France,Germany,Greece,Hungary,India,Indonesia,Ireland,Italy,Japan,Korea,Mexico,Netherlands,New Zealand,Norway,Portugal,South Africa,Spain,Sweden,Turkey,UK,USA,ROW
Sector_1,0.0007725685634520157,0.0007067969678012611,0.0004684572021427327,0.0015988498826933252,0.0013185246144242584,0.0001618416726944202,0.007342970679951851,0.00036999064659198015,0.0003285935928904957,0.0033833406115133823,0.0026600238765033105,0.0004653945794573387,0.00023171976447665792,0.0033821772022792304,0.0011848154591103872,0.00027579379204025877,0.0022474794369362256,0.006853333897303306,0.0013931508444587472,0.0014024843702278552,0.000979852658561424,0.00023817889250250237,0.0002473738883367858,0.0003464335732195822,0.00027915508440891064,0.0017072541249116406,0.00040736526246633493,0.0016561226431935309,0.0015773085899019998,0.007852675033106467,0.022127696694027463
Sector_2,0.0002544199413532642,0.001048440225361218,0.00014029062194077506,0.0005275095914082776,0.0009471453849844133,0.00022931026625320174,0.003288227263524284,7.84389246693932e-05,8.986007646396627e-05,0.000927536199965821,0.001969425516632159,0.00011943950843352047,6.841615575231066e-05,0.0004963861955409088,0.00023945904980511768,4.7661764242451736e-05,0.0007481412498329916,0.0029634393295077054,0.0006304407907429991,0.0007645684242937558,0.0007279687289690363,6.032165627328822e-05,0.00024426689163910964,7.83748064135325e-05,0.0004338374483058686,0.00044127280144315055,0.0001353205679753387,0.0002563289744052365,0.0013754411995401783,0.0070744152248184665,0.009432729213755577
Sector_3,0.0008731606682847365,0.000757200453786171,0.0006641013040133353,0.0016338756065730324,0.0017613845390324631,0.0002660877553787257,0.0023764637556966503,0.0005409069956681639,0.00035276080178003134,0.004887635894852855,0.006401624704051989,0.0005763096539949671,0.00021938502301302337,0.0006129598919300403,0.0005324771987308118,0.00017490534149178664,0.003908983413568868,0.013721881414812884,0.001544925418382801,0.0018534915374166388,0.0014156986501785791,0.00019113585318285568,0.00043363968655565026,0.0004606924880795632,0.00045061513558323135,0.0024065839405290187,0.0006159387609920254,0.0006560300859272431,0.0034011289703369018,0.017292057649515184,0.01837925901536862
Sector_4,0.0003123409883335304,0.00031450778622330353,0.0003391649738698212,0.0008957612924801435,0.0005773892075597084,0.00010296605403098715,0.00217245591258966,0.00013743736984826843,8.042060642930146e-05,0.0018699487977415943,0.0027605449987862965,0.00021808683626672624,8.666768194928955e-05,0.00037156316343029853,0.0002713185710813277,6.260885871962347e-05,0.0031075847150784904,0.0054779428989411095,0.0008319589728898252,0.0007250477181605629,0.00039092756227465653,5.7439516728161246e-05,0.00010843013636247362,0.00039500299649777415,0.00018277156389937476,0.0008773266196043396,0.00017099841193552077,0.0003780338065673582,0.00125178003406202,0.008031027717297343,0.0023928914031731696
Sector_5,7.708081121440418e-05,0.0001536491253778681,0.000173547882364686,0.0001642232416393661,0.00026695112388805533,2.9729667651583958e-05,0.0005504520538302011,7.013082765830227e-05,6.850427446403062e-05,0.00046273859840130434,0.0010263024035053747,4.4845562454837034e-05,2.09255283869605e-05,0.0001643130897922462,0.00029575803874704217,2.2572405782679996e-05,0.0006811984215827731,0.0028090833209488656,0.00016513817738172986,9.593312022835924e-05,0.00014543586758900928,3.995335615945333e-05,7.267456082477716e-05,7.264193926808087e-05,5.333540808509257e-05,0.00024340509555551983,0.00013434649703807994,7.769343019991024e-05,0.0004044934716365653,0.002973109195811003,0.0027560974055962444
Sector_6,0.0002578604451476684,0.00034741951688239037,0.0003141428077185758,0.00044181546327887357,0.0007184118812824557,7.608830838337466e-05,0.0011533014407892634,0.00024281208156972167,0.00029396270875344974,0.002209063434718656,0.0034001541548359655,9.864519675012544e-05,7.61903037240501e-05,0.00014541638953569056,0.00018052339698778922,0.00012450045860649636,0.0015449832102886806,0.007503406921268698,0.0005903218596950413,0.0005130680444236016,0.000713930097612276,0.00011664818890167335,0.00023160582682377429,0.00012573310954393954,0.00022461225872387743,0.0007682039537832123,0.00042361848465772217,0.00017150221673452342,0.00211405836103281,0.012838523006459272,0.008044969359105475
Sector_7,0.0003088116808579757,0.00021495893661224104,0.00010509135147588893,0.0007661276855419259,0.0005483302416212597,0.00010241483259837409,0.0011247500114928688,8.017407645563418e-05,8.66097612206883e-05,0.0010622499004509453,0.0013831980204584904,7.878086211938444e-05,8.381842416891732e-05,0.0003923992168350833,9.726957232257775e-05,1.783023987671407e-05,0.0009343973371161036,0.004125245647616109,0.0007250089615133714,0.0005466398365370422,0.00028530063098307823,4.4265255922363465e-05,8.912326192106727e-05,8.087240235921285e-05,0.00014819310422413005,0.00032076048529229193,0.00011811121656446388,0.00046881217455701813,0.0005693493664886189,0.005457481210648295,0.00999047508606662
Sector_8,0.00045494036950908824,0.00034603475693732396,0.0003411632672076028,0.0022012735297902166,0.0011403986643048634,0.00015709378133138606,0.0027724857458600333,0.00015712633819836162,0.00015062506219054922,0.0030998755163160153,0.003530670112686993,0.00017327136152518795,0.00010475093256630705,0.0007436679441410608,0.00037823556372563837,0.00012179440173974823,0.002628935586799302,0.008937864857123227,0.0015195510753414014,0.0009533237579888279,0.0007782035477133223,0.00011287850615611738,0.00015083170261917352,0.00019448291330297356,0.00028912780205612065,0.0010590075154466058,0.0002918886311281139,0.0004425887727216679,0.0017347003864003378,0.012021814731084993,0.007397950828319457
Sector_9,0.00013970701706941027,0.00023297452823269125,0.00015540072307542143,0.00041808857746075613,0.0004526301999910449,5.255248620913719e-05,0.0010613226995857278,8.868407761717132e-05,5.1438174139974655e-05,0.0010974715340913348,0.0020146036946458003,5.360227357249252e-05,3.4099707181591145e-05,0.00014344335958509398,0.00011238730204026691,3.865111392587364e-05,0.0009911670331841584,0.00542207246116253,0.000489589627034758,0.00038556977799839183,0.00023276284827493664,5.1099178256655225e-05,5.472649705030433e-05,6.116743305331545e-05,9.537504444882539e-05,0.00037741913030673175,0.00011317431858454381,0.0001016506884302456,0.0008441351996912153,0.004832357977748589,0.003438436660622986
Sector_10,0.0001320383412979889,0.00023740083654771182,0.00023942322394603693,0.00036033436662911045,0.00024969174596208547,5.159481090486705e-05,0.0021844486800775653,7.421057074779353e-05,4.62518010953041e-05,0.001142578546317288,0.001907196979860136,9.138905225139104e-05,3.5985029244978016e-05,0.00022169106770606852,0.000107373708707077,4.112095116417192e-05,0.0010903229542587637,0.003430448383595823,0.0006648053333359726,0.00040481527769674537,0.00023012779956934246,3.926991751382995e-05,5.24763878891139e-05,0.00015987456631418758,8.068090301929045e-05,0.0005539356334299119,9.828857748326981e-05,0.0002670235678991873,0.0005560652734219957,0.002634535060061384,0.004545053675526769
Sector_11,0.00019906503466281958,0.00042682943715312066,0.0002515758144687075,0.0009367824762067292,0.0006669127033064188,0.0001072905681610396,0.00391934806987722,0.00010031773604326755,0.0001759534157785538,0.001339994021753078,0.0023488643722879027,0.00011467756295736199,6.826832277739309e-05,0.0006536404927000426,0.00016971795717322447,3.4621304006414104e-05,0.001880485072555956,0.010571695808371528,0.0017074278219770618,0.0005618476814791899,0.0002405503363258623,5.7140033853911704e-05,0.00013604000012534999,0.00015445034995894015,0.00019778307003184291,0.0006703228184374617,0.00029325997091683383,0.00035433116426452185,0.0009228132877232189,0.007454569972990515,0.0067806884389010275
Sector_12,0.00015465855801797808,0.00037322168122295844,0.0002864232620526224,0.0005232231411405624,0.0005338291545353063,6.274604436015704e-05,0.0011762782455384544,0.00015855326495537648,8.141546511299446e-05,0.00201191467497692,0.003715774110504114,6.69788522874321e-05,5.7420480876262234e-05,0.00013718692453017155,9.795939028579725e-05,4.5786931656251066e-05,0.002010808888326756,0.0058849211151890506,0.0005114363141077765,0.00039378045802591617,0.0005090970422784844,5.5600548207100445e-05,8.551763790582816e-05,0.00012435999667779224,0.00014799479872822156,0.0006337174031477396,0.00021838168830768458,0.00013100483487229407,0.0011298802374344141,0.007091265073702661,0.005567374538980556
Sector_13,0.00027283398653247864,0.0003265550899783643,0.00042709160197328415,0.0005972530342894577,0.000824897689923518,0.00011207305425286035,0.003050721056189511,0.00021584375117906303,0.00016271654584217363,0.002042947499710719,0.004710903043861348,0.0001034598449558647,8.947348742289065e-05,0.00031594876703909525,0.0002573600353167525,7.177323951628658e-05,0.002021143876508591,0.008003394106943633,0.0011008932623068368,0.0004480211763983503,0.0004956219921195558,8.047828332376946e-05,0.0001818288579939925,0.00013012379098393357,0.00020504619765793455,0.0005664053035508392,0.00026968631416618004,0.00038188014394256476,0.0013283632803542235,0.007091637288757302,0.010030481659791297
Sector_14,3.624284401635199e-05,0.00012577838940569096,8.11405990462804e-05,8.868081330081761e-05,0.0003195830212272674,1.4638914049684117e-05,0.00027432842443900554,6.509226819333404e-05,3.8692636764040755e-05,0.0006384328841139428,0.0009485345799285274,1.3499013469983417e-05,2.114728263165116e-05,1.0758008033805535e-05,8.395413054630418e-06,0.00010636445428069421,0.0002398845492083807,0.0026517984583145607,8.832233075741138e-05,0.0002594944092258669,0.0003497656827079691,1.9043824041443727e-05,4.500754309793911e-05,2.2199721459526603e-05,3.2351577525973485e-05,0.00019794695979383963,9.535814011848595e-05,2.461797469778212e-05,0.0007941689125723119,0.0031080087375073783,0.0012297113477141403
Sector_15,0.00011069902857017307,0.00020350187423036776,0.00019042578298048094,0.000728559398063662,0.00040890178806923593,3.3780766600231006e-05,0.002063820379222905,7.471440188289132e-05,5.1080045561172536e-05,0.0009400112340555243,0.0033574605620057024,3.914787483017173e-05,2.9769639811052184e-05,0.0002464828783370769,0.0001511118058827118,3.298207140455641e-05,0.0008980088404046836,0.0042230193156326075,0.0011473542291761923,0.0004936580917947054,0.00013650552111428696,5.2675958304878546e-05,8.248072780503339e-05,5.531140896328568e-05,8.618671089181185e-05,0.00030780249852985025,0.00014051612206685004,0.00010034503420571388,0.0006533601872618397,0.006666459770527759,0.00475823509900995
Sector_16,0.00013418271025924679,0.00015402547714135352,0.00022843493014379013,0.0004112855705808033,0.000418137423259369,2.273429792707858e-05,0.0007012508938912302,6.819879682793413e-05,7.716366590249053e-05,0.0008963565305050072,0.0012100256125233487,4.7815440671380004e-05,3.731203146572361e-05,0.00014823827011386303,0.000100096871345961,6.87462202369612e-05,0.0008197280073315754,0.006077216646727352,0.0008877882341894446,0.00026366862755792804,0.00031715413096388426,1.8302516948285487e-05,4.755219087509464e-05,6.110089054644981e-05,5.0853875976591105e-05,0.00021954551202365037,0.0001555363250575086,0.0001267178181531282,0.0006883366979954069,0.005836620302541002,0.005504107918944889
